groups	p-value
['PTEN', 'MAP3K1']	0.0009647328529345324
['TP53', 'GATA3', 'PIK3CA']	2.575808230358359e-14
['TP53', 'GATA3', 'MAP3K1', 'CDH1']	1.0064229876193732e-26
['TP53', 'CBFB']	5.316257803768833e-05
['TP53', 'CTCF']	0.0003986028554054749
['TP53', 'MAP2K4']	7.749265357500867e-05
['TP53', 'AKT1', 'PIK3CA']	3.0177758249017086e-12
['TP53', 'FAT1']	0.0004127396056554272
['TP53', 'ARID1A']	1.953968206345494e-05
['TP53', 'FOXA1']	2.5996423339030114e-06
['TP53', 'TBX3']	0.0012624076121656403
['SPTA1', 'GATA3', 'CDH1']	2.0596325893249678e-08
['DMD', 'MED12']	0.001142187586436375
['DMD', 'MAP3K1']	1.7769847354556312e-05
['KMT2C', 'CDH1']	0.00011174974899570348
['PIK3R1', 'GATA3', 'PIK3CA']	2.0623282147754e-08
['PIK3R1', 'GATA3', 'MAP3K1', 'CDH1']	6.525781552411774e-10
['ATM', 'GATA3']	0.0006603000607200069
['NCOR1', 'MAP3K1']	0.00019708970164868738
['APOB', 'GATA3']	0.0011473020473803947
['KMT2D', 'CDH1']	0.0002714276069169562
['SETD2', 'GATA3']	0.00037920291459251845
['MED12', 'GATA3']	0.000861356426994548
