gene1	gene2	pvalue	qvalue
TP53	AKT1	0.000102358081160537	0.0007861425352726058
TP53	CDH1	5.401300760507328e-20	1.0127327126814013e-19
TP53	PIK3CA	1.5785702691664946e-11	3.7196769460003896e-11
TP53	GATA3	2.105740332351835e-20	8.734953849602708e-20
TP53	MAP3K1	5.812069268735567e-13	2.4273566760435335e-12
TP53	FOXA1	2.5996423339029746e-06	2.3609193438109145e-05
TP53	CBFB	5.3162578037689556e-05	0.0004777015573416324
TP53	TBX3	0.0012624076121656683	0.009704789510658212
TP53	FAT1	0.0004127396056554356	0.0028858523341356453
TP53	CTCF	0.00039860285540547526	0.0028858523341356453
TP53	MAP2K4	7.749265357500921e-05	0.0007207642314799763
TP53	ARID1A	1.953968206345508e-05	0.00018006795981682743
MED12	GATA3	0.0008613564269945465	0.006595957477032646
MED12	DMD	0.0011421875864363667	0.009325737672996971
SETD2	GATA3	0.00037920291459252886	0.0028858523341356453
AKT1	PIK3CA	2.0516761272879734e-05	0.00020524163940249885
CDH1	GATA3	7.2533824472139184e-06	6.398047383388968e-05
CDH1	KMT2C	0.00011174974899570367	0.0007992654510867831
CDH1	MAP3K1	0.0004135681811140174	0.0028858523341356453
CDH1	KMT2D	0.0002714276069169562	0.0024758465988678254
CDH1	SPTA1	0.00038830171189662414	0.0028858523341356453
CDH1	PIK3R1	7.866335497813418e-05	0.0007207642314799763
PIK3CA	GATA3	6.932994086008818e-08	4.3668763826751416e-07
PIK3CA	PIK3R1	0.0009933253937827698	0.008089429144705371
PTEN	MAP3K1	0.000964732852934517	0.008033403626859555
NCOR1	MAP3K1	0.00019708970164868702	0.0014525980822298929
GATA3	MAP3K1	4.471026694724457e-06	3.931574136528025e-05
GATA3	SPTA1	0.0006541272782890089	0.005036746705626931
GATA3	APOB	0.001147302047380409	0.009325737672996971
GATA3	PIK3R1	0.0008613564269945465	0.006595957477032646
GATA3	ATM	0.0006603000607200074	0.005036746705626931
MAP3K1	PIK3R1	8.326308102611102e-05	0.0007223332100283667
MAP3K1	DMD	1.7769847354556278e-05	0.0001482827175673026
