groups	p-value
['SF3B1', 'SOX9']	0.0004953214273782905
['PIK3CG', 'SOX9']	0.000209416584018704
['CUL1', 'KRAS']	4.845626626950367e-05
['TGIF1', 'NOTCH1']	0.0005187016935314337
['TGIF1', 'CDK12']	0.00037982571723517493
['TGIF1', 'BRAF']	0.00016157853435972357
['TGIF1', 'SMARCA4']	0.0005187016935314337
['RARA', 'PIK3CA']	0.00010496169245396125
['NOTCH1', 'AMER1', 'KRAS']	0.001113152006126913
['NOTCH1', 'APC']	0.0006451468147047956
['NOTCH1', 'SMAD4']	6.24275737445056e-05
['NOTCH1', 'SOX9']	0.00010074623940535935
['FUBP1', 'SOX9']	6.451243934913625e-05
['APC', 'CIC']	0.00018470679057901594
['APC', 'ACVR2A']	9.404648067528639e-05
['APC', 'KMT2D']	1.2528727023521107e-05
['APC', 'ZBTB20']	3.401848028815123e-07
['APC', 'KMT2B']	9.404648067528639e-05
['APC', 'RNF43']	5.85747542707176e-10
['APC', 'BCOR']	4.3681736750007414e-05
['APC', 'BRAF']	1.585472939001268e-10
['APC', 'ARID1A']	0.00034712649521631973
['APC', 'KANSL1']	0.0001792153942245216
['APC', 'APOB']	0.00011883568938986876
['APC', 'CHD3']	0.00011427485145316642
['APC', 'HUWE1']	4.572587574258698e-05
['APC', 'FLNA']	3.993781317179057e-05
['APC', 'ZFHX3']	0.0005641441978036433
['SOS1', 'SMAD4']	3.19801122514858e-05
['ASXL2', 'SMAD4']	0.00040959361039048597
['ESR1', 'KRAS']	2.4008300217739885e-06
['ESR1', 'SMAD4']	0.00018685533211379844
['ESR1', 'SOX9']	0.0002096775565628762
['ERBB3', 'SOX9']	0.0002096775565628762
['KIT', 'KRAS']	2.5222026759665857e-05
['KIT', 'SMAD4']	0.0006071638408171183
['CTNNB1', 'BRAF', 'SOX9']	4.6998097037358404e-08
['JAK3', 'KRAS']	0.0006184380085334949
['PTEN', 'SOX9']	5.765350075499102e-06
['EGFR', 'KRAS']	0.00045433358305741026
['NRAS', 'KRAS', 'EPHA3']	9.078327460098182e-10
['NRAS', 'KRAS', 'ZBTB20']	2.2870229698932645e-10
['NRAS', 'KRAS', 'RNF43']	1.9068922571378934e-16
['NRAS', 'KRAS', 'BCOR']	1.0523344273217352e-07
['NRAS', 'KRAS', 'ARID1A']	5.073941288289142e-13
['NRAS', 'KRAS', 'CHD4']	1.8585221553190154e-10
['NRAS', 'KRAS', 'POLQ']	1.621932070571556e-08
['NRAS', 'SOX9', 'EPHA3']	4.259943515622047e-09
['NRAS', 'SOX9', 'ZBTB20']	2.101937230143025e-10
['NRAS', 'SOX9', 'RNF43']	4.862728370893294e-09
['NRAS', 'SOX9', 'CHD4']	1.418218615427647e-07
['NRAS', 'SOX9', 'POLQ']	8.402007949341841e-07
['DIAPH2', 'CARD11']	0.00028164854458025644
['ZFP36L1', 'KRAS']	1.0260137551522342e-05
['MET', 'KRAS']	0.0002316931383610892
['CUL3', 'AMER1']	0.00047694459932328694
['CUL3', 'COL5A1']	0.0006429613884907311
['ATR', 'KRAS']	0.0002970189987660811
['PCBP1', 'MACF1']	0.000419442617407634
['PCBP1', 'AMER1', 'BRAF']	4.023718223317803e-06
['PCBP1', 'ZFHX3']	0.0005392533081279557
['PCBP1', 'ARID1A']	3.99564330807522e-05
['CYLD', 'SOX9']	0.00047218026112442346
['EEF2', 'KRAS']	1.7321135177149582e-06
['KRT222', 'SOX9']	0.0005527798598487765
['ZFP36L2', 'PIK3CA']	0.0003395333617698543
['TBX3', 'KMT2C']	8.626105731366335e-06
['TGFBR2', 'SMAD4']	0.00040959361039048597
['TP53', 'SMC1A']	0.0006708389079374799
['TP53', 'ERBB4', 'PIK3CA']	0.0001239073300727728
['TP53', 'ERBB4', 'SOX9']	2.1248577390294746e-07
['TP53', 'LZTR1', 'SOX9']	1.4511288148423921e-10
['TP53', 'CDH1']	3.385577833660741e-05
['TP53', 'EZH2']	0.00043512073629232143
['TP53', 'ARHGAP35']	4.327592523969667e-07
['TP53', 'SMAD2', 'RNF43', 'SMAD4']	4.198129118195683e-06
['TP53', 'SMAD2', 'RNF43', 'SOX9']	6.193813743534803e-08
['TP53', 'SMAD2', 'BRAF', 'SMAD4']	3.839735096046935e-07
['TP53', 'SMAD2', 'BRAF', 'SOX9']	2.0384246140188072e-07
['TP53', 'KIF1A', 'SOX9']	1.3139003672843256e-08
['TP53', 'SMAD4', 'MSH6']	2.3699922249080026e-05
['TP53', 'SMAD4', 'RET']	3.546773656586826e-05
['TP53', 'SMAD4', 'SMARCA4']	1.721598808084294e-05
['TP53', 'SMAD4', 'DMD']	0.0037959843349809055
['TP53', 'SMAD4', 'PTCH1']	6.985821703921944e-06
['TP53', 'SMAD4', 'ARID1A']	2.1338564633534574e-05
['TP53', 'SMAD4', 'FBXW7']	0.0002735838013863446
['TP53', 'SMAD4', 'APOB']	9.389649150734146e-05
['TP53', 'SMAD4', 'HUWE1']	5.536429198312552e-07
['TP53', 'SMAD4', 'ZFHX3']	6.315333672134505e-06
['TP53', 'SMAD4', 'MYH9']	1.4270072664523634e-06
['TP53', 'SOX9', 'RET']	2.4894472581665366e-08
['TP53', 'SOX9', 'MECOM']	1.127466611442244e-08
['TP53', 'SOX9', 'DMD']	4.647327842493852e-05
['TP53', 'SOX9', 'KMT2C']	8.695003497801548e-09
['TP53', 'SOX9', 'PIK3R1']	3.6026587404525334e-09
['TP53', 'SOX9', 'FAT1']	1.5082076005000208e-07
['TP53', 'SOX9', 'KANSL1']	1.5681775288036174e-10
['TP53', 'SOX9', 'ZFHX3']	5.794613721354268e-12
['TP53', 'SOX9', 'MYH9']	4.255090646065582e-09
['TP53', 'SOX9', 'EPHA2']	6.713257604033693e-10
['TP53', 'SOX9', 'MTOR']	5.261340019852711e-07
['TP53', 'SOX9', 'CACNA1A']	8.204636769952209e-10
['TP53', 'SOX9', 'ZMYM2']	1.1027689674822022e-08
['TP53', 'SOX9', 'CTCF']	3.1581007284872987e-10
['TP53', 'SOX9', 'CREBBP']	4.826283314437614e-09
['TP53', 'SOX9', 'TCF7L2', 'BRAF']	0.005396252199772605
['TP53', 'SOX9', 'KMT2D']	1.2875427698872258e-11
['TP53', 'SOX9', 'ATM']	1.0859665679452157e-08
['TP53', 'SOX9', 'BRCA2']	9.398554553689452e-09
['TP53', 'SOX9', 'FLNA']	1.083387571576219e-08
['TP53', 'SOX9', 'COL5A1']	4.084452093689231e-06
['TP53', 'SOX9', 'SIN3A']	2.655004827557744e-10
['TP53', 'SOX9', 'MACF1']	3.704446303930251e-06
['TP53', 'SOX9', 'ARID2']	2.444549938709538e-08
['TP53', 'SOX9', 'KEL']	4.1453083836374564e-10
['TP53', 'SOX9', 'CHD4']	9.136338170760971e-08
['TP53', 'SOX9', 'CHD3']	5.812940057708965e-13
['TP53', 'SOX9', 'HUWE1']	4.2329361088504034e-10
['TP53', 'SOX9', 'NCOR1']	5.261340019852711e-07
['TP53', 'SOX9', 'MED12']	2.2784391477960767e-08
['TP53', 'SOX9', 'POLE']	1.2634422320701522e-07
['TP53', 'SOX9', 'NOTCH2']	9.178308292211415e-10
['TP53', 'SOX9', 'CIC']	1.8357722201247317e-09
['TP53', 'SOX9', 'NIPBL']	1.4779455786165953e-06
['TP53', 'SOX9', 'ALK']	1.3330273549444444e-06
['TP53', 'SOX9', 'CDK12']	5.097933591280704e-08
['TP53', 'SOX9', 'EPHA3']	2.4912123352134457e-07
