gene1	gene2	pvalue	qvalue
MACF1	PIK3CA	0.00039755081020283054	0.0061564813438550105
MACF1	KRAS	1.0495292996501916e-08	3.490694814199551e-07
MACF1	TP53	3.37618541285225e-08	8.7529056379856e-07
MACF1	SOX9	2.473876889242848e-06	5.2220694304779466e-05
MACF1	PCBP1	0.00041944261740762726	0.00649792862041979
NRAS	KRAS	1.1739599690125756e-05	0.00022460299106172085
NRAS	EPHA3	0.00015775205215165037	0.0025539190430061546
NRAS	CHD4	0.00046999264542166123	0.007205077758033127
NRAS	SOX9	0.0005087051862246763	0.007560855893426764
NRAS	ARID1A	3.806726393742605e-05	0.0007025294341197634
NRAS	ZBTB20	0.00011311003543690587	0.0018978512620094787
NRAS	RNF43	4.266300551978563e-05	0.0007452049837708007
NRAS	BCOR	0.00026324328272087945	0.004216183832256828
NRAS	POLQ	0.00015775205215165037	0.0025539190430061546
SPTA1	KRAS	0.0001331409103399327	0.002177550960621312
SPTA1	TP53	2.3493375493932024e-08	5.863313066222616e-07
APOB	PIK3CA	4.3451557515682615e-05	0.0007462760663773855
APOB	APC	0.00011883568938986876	0.001970635843371455
APOB	KRAS	3.410617756622593e-06	6.98683270323613e-05
APOB	TP53	7.579328725559255e-08	1.715250977263537e-06
APOB	SMAD4	0.0003314363123249229	0.005100771452848861
APOB	SOX9	4.823660706612669e-08	1.2248200689804128e-06
ALK	TP53	5.433440135264728e-06	0.00010708687913807606
ALK	SOX9	0.0003677211172098003	0.0056886306677099265
ERBB4	PIK3CA	0.0006926426825131015	0.010277218066533688
ERBB4	TP53	6.796257768364501e-06	0.00012555841350744197
ERBB4	SOX9	1.1855107754263844e-08	3.700622186835482e-07
KIF1A	TP53	0.00014916871460171337	0.0024768264007673938
KIF1A	SOX9	4.514542664312004e-05	0.0007711805178665627
MLH1	KRAS	0.00024139444919417301	0.0038652907032383018
MLH1	PDGFRA	0.0007130939169164036	0.010546848286861444
CTNNB1	SOX9	0.00014591818674470388	0.002458527499366202
CTNNB1	BRAF	0.000536754947699573	0.008190502946665349
PBRM1	KRAS	0.0003761562959349944	0.005899672088976738
PBRM1	TP53	0.00034628188783131795	0.005259936838985675
ATR	KRAS	0.00029701899876608055	0.0046461787022926745
FBXW7	PIK3CA	9.635031026254903e-05	0.0016524988779285032
FBXW7	KRAS	9.445328681336542e-06	0.00017705445012251825
FBXW7	TP53	7.456484448173433e-08	1.715250977263537e-06
FBXW7	SMAD4	1.1009509730870576e-05	0.0002060483972359948
FBXW7	AMER1	0.00018318261007016468	0.002914585849261698
NIPBL	KRAS	4.6560287148150135e-05	0.0007792676410582425
NIPBL	TP53	6.925067125596657e-07	1.535415473685082e-05
NIPBL	SOX9	2.6947835977812155e-07	6.622109258273065e-06
PIK3R1	KRAS	3.1696697886829428e-06	6.700531373257966e-05
PIK3R1	TP53	1.7919881279909612e-06	3.833051484956269e-05
PIK3R1	SOX9	0.000432367087489346	0.006582089284863454
PIK3CG	SOX9	0.00020941658401870251	0.0033505850261002583
MET	KRAS	0.0002316931383610892	0.0036531078048996617
PTCH1	KRAS	3.716235887347836e-05	0.0006744040126613315
PTCH1	TP53	3.746272589254478e-07	9.069369934393005e-06
PTCH1	SMAD4	0.00011959815709372937	0.001994710233273931
PTCH1	SOX9	4.514542664312004e-05	0.0007711805178665627
ABL1	KRAS	0.0003761562959349944	0.005899672088976738
ABL1	TP53	1.3797104269358073e-06	2.952185215705542e-05
TSC1	KRAS	0.0003761562959349944	0.005899672088976738
TSC1	TP53	0.00010756610183564927	0.0017961522402650649
ATM	PIK3CA	2.190495645397202e-05	0.00041998627256623126
ATM	KRAS	1.181260456122031e-07	2.7793666807157376e-06
ATM	TP53	9.010288447630438e-11	9.117295611234519e-09
ATM	SOX9	2.6992388238606857e-05	0.0005010841262351098
ARID2	TP53	0.00021239796889526352	0.0033604084563535214
ARID2	SOX9	6.052720162122656e-07	1.3475131567579369e-05
BRCA2	KRAS	0.00015367132634585531	0.0024990463128081813
BRCA2	TP53	6.199236629629565e-05	0.001051118474155035
BRCA2	SOX9	1.384382778987362e-05	0.0002583269985755211
PDS5B	KRAS	0.0006211857367940481	0.009350295598786671
PDS5B	TP53	0.00013141503033019044	0.00215650791469621
SIN3A	KRAS	1.2782840320130317e-05	0.0002398489595226226
SIN3A	TP53	1.7384197380262973e-08	4.726619586861843e-07
SIN3A	SOX9	0.00021512098142308065	0.0033604084563535214
CYLD	SOX9	0.00047218026112442893	0.007217212080125357
ZFHX3	APC	0.0005641441978036408	0.008436295649165197
ZFHX3	KRAS	5.474316751810816e-09	2.1136828342287708e-07
ZFHX3	TP53	1.6614668118083965e-10	1.0003979778999099e-08
ZFHX3	SMAD4	3.304074071614849e-05	0.000601821126916543
ZFHX3	SOX9	6.862320952980259e-05	0.0011326640681918571
ZFHX3	PCBP1	0.0005392533081279571	0.008190502946665349
CHD3	APC	0.00011427485145316723	0.0018978512620094787
CHD3	KRAS	0.0002680537558062294	0.004223388629490461
CHD3	TP53	1.5600067359391866e-08	4.6500624103283203e-07
CHD3	SOX9	3.285816419885956e-06	6.83183895083419e-05
NCOR1	PIK3CA	0.00012283078558367452	0.0020612278016588987
NCOR1	KRAS	2.262920019404724e-06	4.83970044389323e-05
NCOR1	TP53	5.433440135264728e-06	0.00010708687913807606
NCOR1	SOX9	0.00010423592994262527	0.0017398503906443112
NF1	KRAS	7.522427574577065e-07	1.6626253295045084e-05
NF1	TP53	1.4960972114992805e-06	3.175295602163103e-05
NF1	SOX9	0.00020941658401870251	0.0033505850261002583
KRT222	SOX9	0.0005527798598487755	0.008305911296066266
CACNA1A	KRAS	0.0003626423166264397	0.005568996063077612
CACNA1A	TP53	1.0443317978254497e-08	3.490694814199551e-07
CACNA1A	SOX9	0.00015084216846347873	0.0024974150974825284
KMT2B	APC	9.404648067528588e-05	0.0016257171981526011
KMT2B	KRAS	7.373991677952865e-08	1.715250977263537e-06
KMT2B	TP53	2.292799311518667e-07	5.594580489343415e-06
CIC	APC	0.0001847067905790153	0.002926401512876714
CIC	KRAS	6.401783988145784e-06	0.00012065091577358574
CIC	TP53	9.633424900153107e-07	2.1364766935760688e-05
CIC	SOX9	0.0006193372114387083	0.009350295598786671
