gene1	gene2	pvalue	qvalue
NIPBL	RPL22	5.464320089654251e-05	0.04275270415448723
NIPBL	ACVR2A	1.713531229796672e-06	0.004006106940732877
NIPBL	ZBTB20	3.7384004217488886e-05	0.032334074966792
ZFHX3	ACVR2A	1.6196433685333744e-06	0.004006106940732877
KMT2B	ACVR2A	1.0225556646981104e-05	0.01835802380425956
HUWE1	ACVR2A	3.678092319236992e-05	0.032334074966792
CREBBP	ACVR2A	1.8320123025605817e-05	0.025836171367167236
KANSL1	ACVR2A	6.347601713629913e-05	0.046996731117885666
RPL22	ACVR2A	2.4099476858552293e-09	3.1145891189464985e-05
RPL22	ZBTB20	3.7424841148325783e-06	0.0075723014102358835
RPL22	KMT2D	1.5687346262227564e-05	0.025168080235341467
ARID1A	ACVR2A	4.5770037823023024e-05	0.03731085507707782
MSH2	TET2	3.722797599448047e-05	0.032334074966792
ACVR2A	ZBTB20	5.41654284758053e-08	0.0003572726095412858
ACVR2A	MSH3	2.262984484380226e-05	0.027593647217904693
ACVR2A	KMT2D	1.6921440078032646e-06	0.004006106940732877
ACVR2A	RNF43	1.9545255012132223e-05	0.025836171367167236
ZBTB20	KMT2D	2.641044399709358e-05	0.0295087349979509
ZBTB20	RNF43	4.848611557806137e-07	0.0022108479064710048
RNF43	BRAF	3.435566378495736e-05	0.032334074966792
