groups	p-value
['SOX17', 'SOX9']	0.00043821859694239003
['SOX17', 'KRAS']	3.983344897140223e-06
['NUP93', 'KRAS']	0.00017037046452123895
['FUBP1', 'SOX9']	8.047416387336555e-05
['ZCCHC12', 'KRAS']	4.11043700789856e-05
['NFE2L2', 'SOX9', 'SMAD4']	1.2354868585694563e-07
['NFE2L2', 'KRAS']	4.086373000794913e-06
['NFE2L2', 'APC']	0.0002744789853952259
['IL6ST', 'SOX9']	0.00014866737167720567
['BAP1', 'SOX9']	5.916302966308096e-05
['HGF', 'ZFP36L2']	0.0003209612675877337
['HGF', 'SOX9', 'SMAD4']	1.132322643731691e-06
['HGF', 'KRAS']	0.00011220650928691229
['ATF7IP', 'KRAS']	2.262057205280424e-06
['ATF7IP', 'SMAD4']	0.00038364928904688307
['SF3B1', 'SOX9']	0.00027825879298286007
['SF3B1', 'KRAS']	0.0004875577119412784
['ZNF750', 'AR', 'SOX9']	2.521609287253064e-08
['ZNF750', 'AR', 'KRAS']	1.3082977963871642e-09
['ZNF750', 'APC']	0.000368013477025163
['TLR4', 'HLA-A', 'KRAS']	3.458193736407514e-08
['TLR4', 'SOX9', 'CDH1']	8.949041084485095e-08
['TLR4', 'SOX9', 'RBM10']	9.7118906156686e-09
['TLR4', 'KRAS', 'CDH1']	2.0826218842698627e-12
['ELF3', 'SMAD4']	0.0003980779407121437
['DIAPH2', 'PPP2R1A']	0.000280454080304346
['DIAPH2', 'CARD11']	0.0002864698292441353
['APC', 'ASXL1']	0.0001097162593333039
['APC', 'CIC']	3.519033687198327e-07
['APC', 'ZC3H12A', 'ERBB4']	0.00015053167312946482
['APC', 'FLNA']	8.807944182400578e-06
['APC', 'CHD3']	1.6527431462923406e-05
['APC', 'FAT1']	0.0006992937918548916
['APC', 'APOB']	5.409092013185213e-08
['APC', 'ZFHX3']	1.585355987519033e-05
['APC', 'ACVR2A']	2.459401168592089e-07
['APC', 'COL5A1']	0.0006016220945545866
['APC', 'MGA']	1.4880802861351545e-05
['APC', 'NCOR1']	0.0004917341819050066
['APC', 'DMD']	0.00019732139890617825
['APC', 'KDM5C']	0.0004668163379584254
['APC', 'MACF1']	1.15584943917089e-06
['APC', 'RNF43']	3.193461911472006e-11
['APC', 'PTEN']	1.4033923158106625e-05
['APC', 'NIPBL']	1.7647671232626917e-06
['APC', 'ZBTB20']	1.3718797033210254e-06
['APC', 'CDH1', 'ERBB3']	8.948818230965481e-09
['APC', 'SPTA1', 'NOTCH1']	6.476461194044934e-09
['APC', 'SPTA1', 'BCOR']	5.002038632765196e-09
['APC', 'SPTA1', 'INPPL1']	3.692746869112013e-08
['APC', 'HUWE1']	1.3197656973656534e-06
['APC', 'BRCA2']	0.0003186937230846142
['APC', 'RPL22']	4.084573767587643e-07
['APC', 'SPTAN1']	0.00013398316724044738
['APC', 'MSH3']	5.490801694376327e-06
['APC', 'BRAF']	2.848302925873627e-07
['APC', 'PTPRD']	4.920891777112286e-08
['APC', 'PTPDC1']	0.0005655662155758714
['APC', 'ATM']	3.952565905026663e-05
['APC', 'RHOA', 'EPHA2']	3.1734213505609997e-09
['APC', 'RHOA', 'PTCH1']	1.2975132513794186e-06
['APC', 'RHOA', 'KMT2C']	3.717856120443998e-08
['APC', 'RHOA', 'CUL1']	3.538066478383477e-07
['APC', 'RHOA', 'PLXNB2']	4.0202836930435643e-07
['APC', 'RHOA', 'PBRM1']	2.5751240397341097e-07
['APC', 'RHOA', 'PDS5B']	9.228610320562849e-07
['APC', 'RHOA', 'SMARCA4']	2.020647625558551e-05
['APC', 'RHOA', 'MUC6']	5.516161793351683e-07
['APC', 'RHOA', 'EP300']	2.80768479589891e-06
['APC', 'NOTCH1', 'EPHA3']	1.2217137269599877e-06
['APC', 'NOTCH1', 'ERBB4']	1.5053969592621964e-06
['APC', 'TSC2']	0.0004986487392913838
['APC', 'KMT2D']	2.6334167202185624e-11
['APC', 'MED12']	0.0003728290244275093
['APC', 'JAK1']	0.00044698367644251325
['APC', 'ZMYM2']	0.0006230619598994255
['APC', 'SETBP1']	0.0003519785174602677
['APC', 'ATR']	0.00021628592623562556
['APC', 'ARID1A']	3.6223199662446475e-13
['APC', 'CDKN2A']	7.686495343222888e-07
