gene1	gene2	pvalue	qvalue
MACF1	APC	1.155849439170882e-06	2.8628942727123387e-05
MACF1	KRAS	1.2763827593522195e-09	5.2973843258716785e-08
MACF1	TP53	3.234719162922233e-10	1.783642588918653e-08
MACF1	SMAD4	3.51214604565785e-05	0.0007314597154435439
MACF1	SOX9	3.1862083764406357e-07	8.918234321186456e-06
SPTA1	FBXW7	0.0003280746455518554	0.0054656304425580084
SPTA1	PIK3CA	8.455375564033039e-07	2.105502194645763e-05
SPTA1	APC	6.155715655928531e-09	2.358302205898025e-07
SPTA1	KRAS	4.285430827572546e-11	2.5564741809233168e-09
SPTA1	TP53	1.0901603783979967e-09	4.8949442562588205e-08
SPTA1	CARD11	0.0005846777609157702	0.009065999702930714
SPTA1	SMAD4	4.419460226681931e-08	1.5795891731732315e-06
SPTA1	SOX9	3.0230717547101476e-05	0.000623125908136286
SPTA1	ZFP36L2	0.0001978998175738654	0.0034797771744614716
SPTA1	INPPL1	0.0004109617601490376	0.006611776576287788
SPTA1	BCOR	0.0005946452599903837	0.009146696886315251
SPTA1	NOTCH1	0.00017047422205331575	0.0030206885860744443
APOB	ERBB2	0.00040034473700892585	0.006468998804112816
APOB	PIK3CA	2.633933272140327e-07	7.630366867011e-06
APOB	APC	5.4090920131853866e-08	1.7977577398266488e-06
APOB	KRAS	2.2817576132970783e-09	9.715749477479008e-08
APOB	TP53	2.5042701335615502e-08	9.296004184452884e-07
APOB	SMAD4	3.579298111766549e-08	1.2895233270569567e-06
APOB	SOX9	1.0357466808646208e-09	4.8949442562588205e-08
ALK	KRAS	0.00011211519207788374	0.002104978082500953
ALK	TP53	5.1303682486677e-06	0.0001184267496578589
ALK	SOX9	0.00013870747807280352	0.00253604923259544
ERBB4	PIK3CA	1.0803396146339127e-05	0.0002446700356038841
ERBB4	APC	0.0005552057916200059	0.008685606995787165
ERBB4	KRAS	1.082990842060865e-07	3.287727830569724e-06
ERBB4	TP53	5.419356214181491e-07	1.400467078213731e-05
ERBB4	SMAD4	8.331154693479939e-05	0.0016077113361171514
ERBB4	SOX9	6.364901797169209e-12	5.153269661116891e-10
ERBB4	ZC3H12A	0.0006181706619169729	0.009513864426463821
ERBB4	NOTCH1	0.00020649957243502155	0.0036234267495853156
KIF1A	DMD	0.0004944505274449814	0.00773903107023564
KIF1A	KRAS	8.425843736071978e-05	0.0016199360438593328
KIF1A	TP53	7.05827153573447e-05	0.001386143953780957
KIF1A	SOX9	4.500420935837848e-06	0.00010352226809981747
KIF1A	AR	0.00043487028674204733	0.00690312080361763
CTNNB1	TP53	5.941509431759774e-06	0.00013598107408139496
CTNNB1	SOX9	2.613387050227824e-05	0.0005541238645259267
CTNNB1	TSC2	0.0003466753385715953	0.0057618923167609675
PBRM1	APC	9.461920392930347e-05	0.001808190347465762
PBRM1	KRAS	1.094816954445031e-09	4.8949442562588205e-08
PBRM1	TP53	5.277991728646618e-08	1.768225985122673e-06
PBRM1	SMAD4	3.025173457279613e-05	0.000623125908136286
PBRM1	SOX9	0.000490594615148495	0.007703716381858601
PBRM1	RHOA	0.0006276529910739113	0.00959845334847082
ATR	APC	0.0002162859262356298	0.0038096271471719885
ATR	KRAS	5.767629995696816e-07	1.455992039616485e-05
ATR	TP53	7.14783852934354e-05	0.0013966234678781046
ATR	SOX9	2.317285268074636e-06	5.466012798673715e-05
FBXW7	KRAS	0.0003193307814721322	0.0053339190019865805
FBXW7	TP53	8.551057243604306e-09	3.3002260123647185e-07
FBXW7	SMAD4	1.129329790340508e-09	4.927728985491133e-08
IL7R	KRAS	0.0004185931072061309	0.006700172557189253
IL7R	TP53	0.00019918993892038543	0.003488526618570855
NIPBL	APC	1.7647671232626949e-06	4.224922235700707e-05
NIPBL	KRAS	1.0983475659232604e-06	2.7465452695703496e-05
NIPBL	TP53	1.6331725789804207e-13	1.7152045452298157e-11
NIPBL	SMAD4	0.00011052756263187605	0.00208681339361835
