groups	p-value
['TP53', 'PTEN']	0.00042072464102905864
['TP53', 'CIC', 'EGFR']	4.274897585604695e-29
['TP53', 'NOTCH1']	0.0017113329582517276
['TP53', 'FUBP1']	8.022722815500326e-08
['TP53', 'IDH2']	0.0005793778460463514
['ATRX', 'PIK3CA']	0.00021142105872583425
['ATRX', 'PTEN']	0.00011740680988824957
['ATRX', 'FUBP1']	1.1273085126956875e-08
['ATRX', 'EGFR', 'PIK3R1']	2.659952622016262e-07
['ATRX', 'EGFR', 'CIC']	3.011544719999162e-23
['NF1', 'IDH1']	2.3284731267078293e-05
['IDH1', 'EGFR']	3.952259329369193e-11
['IDH1', 'PTEN']	8.954754905749525e-06
['IDH1', 'CREBBP']	0.0010736542402634045
['IDH1', 'IDH2']	4.4247979836717535e-10
