gene1	gene2	pvalue	qvalue
IDH2	IDH1	4.4247979836717535e-10	1.1411642090075398e-09
IDH2	TP53	0.0005793778460463334	0.0023355517680998077
CIC	TP53	8.288136740579897e-24	3.265453288950264e-23
CIC	ATRX	5.635499229286774e-19	1.053236946678647e-18
CIC	EGFR	0.0007306916577404668	0.0028552442406618666
IDH1	PTEN	8.9547549057497e-06	2.8580204808868698e-05
IDH1	NF1	2.328473126707792e-05	7.615229497310894e-05
IDH1	EGFR	3.952259329369404e-11	9.711764121295108e-11
IDH1	CREBBP	0.0010736542402634264	0.005409517331997179
TP53	PTEN	0.0004207246410290527	0.0018121698484315776
TP53	NOTCH1	0.0017113329582517094	0.00798345398488866
TP53	FUBP1	8.022722815500269e-08	1.8358062248710325e-07
TP53	EGFR	1.3903477322859666e-05	4.557120371472315e-05
ATRX	PTEN	0.00011740680988825082	0.00043042761290015445
ATRX	FUBP1	1.1273085126956675e-08	3.571341918467297e-08
ATRX	PIK3CA	0.00021142105872583425	0.0008592419631651187
ATRX	EGFR	5.4986168445109894e-06	1.5940726986443334e-05
ATRX	PIK3R1	0.0017963795106535141	0.009982403008108542
EGFR	PIK3R1	0.0018862735304020968	0.009982403008108542
