groups	p-value
['TP53', 'STK11']	2.0483737463829204e-05
['TP53', 'KRAS']	1.2345235499931062e-09
['TP53', 'ATM']	0.00019033175994283567
['EGFR', 'STK11']	2.2527216851234824e-07
['EGFR', 'SETBP1']	5.661627548740764e-05
['EGFR', 'PIK3CG']	7.245736012588528e-05
['EGFR', 'SPTA1']	1.3205305802080032e-06
['EGFR', 'HGF']	0.00039400419229588255
['EGFR', 'KRAS', 'NF1']	9.751967533855844e-22
['EGFR', 'USP9X']	0.0003585991826459352
['EGFR', 'FAT1']	2.9817769532894736e-05
['EGFR', 'APOB']	7.860302150962143e-05
['EGFR', 'KMT2D']	0.00031411681442159676
['EGFR', 'PTPRD']	0.00011306914668021224
['EGFR', 'MED12']	0.0004450225286872308
['EGFR', 'KEAP1']	3.618902232200127e-05
['SMARCA4', 'KRAS']	0.00013706686733833912
['ALK', 'KRAS']	0.00018623364010465142
['EPHA3', 'KRAS']	0.0002502027278010048
['BRAF', 'KRAS']	4.217314199104868e-07
['KMT2C', 'KRAS']	0.00035973229622486655
['KMT2C', 'FLNA']	9.587819419676593e-05
