gene1	gene2	pvalue	qvalue
KRAS	TP53	1.2345235499930888e-09	3.552909858115497e-08
KRAS	EGFR	1.5351787173460013e-16	2.528003120379571e-15
KRAS	SMARCA4	0.00013706686733833937	0.0034186070848188192
KRAS	KMT2C	0.00035973229622486466	0.008645918273277311
KRAS	BRAF	4.217314199104823e-07	1.1201787191770182e-05
KRAS	EPHA3	0.00025020272780100565	0.006402344176711996
KRAS	NF1	3.014839292760571e-08	9.185150059555169e-07
KRAS	ALK	0.00018623364010465242	0.004606571356415525
STK11	TP53	2.0483737463829204e-05	0.0007163909252345503
STK11	EGFR	2.2527216851234983e-07	7.625166726726635e-06
APOB	EGFR	7.860302150962101e-05	0.001974763591364836
TP53	ATM	0.000190331759942835	0.004606571356415525
KEAP1	EGFR	3.6189022322001075e-05	0.001063045426568141
EGFR	PTPRD	0.00011306914668021206	0.0028732171170127293
EGFR	KMT2D	0.00031411681442159676	0.007670567449508942
EGFR	SETBP1	5.661627548740794e-05	0.0016503051391906873
EGFR	MED12	0.00044502252868722924	0.009918367955746507
EGFR	SPTA1	1.3205305802080032e-06	3.7078681891844435e-05
EGFR	HGF	0.00039400419229588185	0.008936514918532758
EGFR	PIK3CG	7.245736012588515e-05	0.001956437268905995
EGFR	NF1	1.5565367777833467e-05	0.0005730625378946074
EGFR	FAT1	2.9817769532894627e-05	0.0009712225000420648
EGFR	USP9X	0.00035859918264593643	0.008645918273277311
KMT2C	FLNA	9.587819419676558e-05	0.002491142119059057
