groups	p-value
['PTEN', 'SPTA1']	3.0182137504539263e-05
['TP53', 'MSH3']	4.400360827663277e-05
['TP53', 'PIK3CA']	4.5770536310712093e-10
['TP53', 'NOTCH1']	4.677176900858801e-05
['TP53', 'KMT2B']	2.9792805349168055e-06
['TP53', 'DMD']	2.1872433252942996e-05
['TP53', 'KMT2C']	8.082231415128633e-08
['TP53', 'FAT1']	8.110539870303382e-05
['TP53', 'ATM']	1.8703574408773378e-05
['TP53', 'CDH1']	5.300581173840507e-07
['TP53', 'POLE']	2.719365017955121e-05
['TP53', 'ERBB3']	1.2756515918080025e-07
['TP53', 'CIC']	7.24088960603951e-06
['TP53', 'ACVR2A']	4.5352098057309415e-08
['TP53', 'EPHA2']	4.928544402583199e-05
['TP53', 'NIPBL']	1.4655436380450495e-06
['TP53', 'RPL22']	9.244453814556764e-07
['TP53', 'KRAS']	2.4178367889552414e-05
['TP53', 'PBRM1']	9.582876068080316e-05
['TP53', 'ZBTB20']	9.290028346855793e-06
['TP53', 'INPPL1']	1.2998419129305798e-05
['TP53', 'PLXNB2']	0.00017670685644306146
['TP53', 'ARID1A']	5.154585748611094e-15
['TP53', 'SPTAN1']	0.00017670685644306146
['TP53', 'KMT2D']	8.012508540376197e-08
['TP53', 'RHOA']	9.025498079060645e-05
['TLR4', 'MUC6']	0.00012870172896372318
['TLR4', 'CDH1']	7.14991274738214e-05
