gene1	gene2	pvalue	qvalue
ACVR2A	TP53	4.5352098057309415e-08	4.103833851461351e-06
TP53	PLXNB2	0.00017670685644306208	0.009478962644543894
TP53	NIPBL	1.4655436380450495e-06	7.934005661572273e-05
TP53	ARID1A	5.154585748611167e-15	1.0859243108977638e-13
TP53	ZBTB20	9.290028346855793e-06	0.0005876353151991388
TP53	PIK3CA	4.5770536310712093e-10	3.0201447736627894e-08
TP53	MSH3	4.400360827663269e-05	0.0025563970300636384
TP53	ATM	1.8703574408773476e-05	0.0011687037572177745
TP53	ERBB3	1.275651591808007e-07	6.240052580587414e-06
TP53	KMT2C	8.082231415128605e-08	4.744185847070894e-06
TP53	KRAS	2.417836788955237e-05	0.001433591079828818
TP53	CIC	7.24088960603951e-06	0.0004707498717013085
TP53	RHOA	9.025498079060774e-05	0.004903483236581105
TP53	DMD	2.1872433252942996e-05	0.0013423075700232767
TP53	SPTAN1	0.00017670685644306208	0.009478962644543894
TP53	CDH1	5.300581173840526e-07	3.177079256141378e-05
TP53	RPL22	9.244453814556731e-07	4.991767386092263e-05
TP53	EPHA2	4.9285444025831904e-05	0.0026374630098245895
TP53	FAT1	8.110539870303382e-05	0.004388226820391277
TP53	KMT2D	8.012508540376168e-08	4.744185847070894e-06
TP53	POLE	2.7193650179551158e-05	0.001585539060050074
TP53	KMT2B	2.9792805349168267e-06	0.00017705409611253533
TP53	PBRM1	9.582876068080264e-05	0.005038652284413767
TP53	INPPL1	1.2998419129305776e-05	0.0008203463705833574
TP53	NOTCH1	4.6771769008588596e-05	0.00262186172672287
MUC6	TLR4	0.00012870172896372364	0.006889914912803742
SPTA1	PTEN	3.0182137504539476e-05	0.0016629799148281895
TLR4	CDH1	7.149912747382166e-05	0.003938021737585191
