groups	p-value
['STK11', 'KRAS', 'PGR']	1.3174808806588975e-05
['BCL2L11', 'KRAS', 'RPL22']	5.3846273143882476e-06
['RARA', 'SPOP']	0.0007219209422187051
['IDH1', 'KRAS', 'PGR']	3.74043909399752e-06
['SMAD4', 'RPL22']	0.00015546151897414347
['RPL5', 'RPL22']	7.133575536612897e-06
['MYC', 'KRAS', 'CTNNB1', 'ACVR2A']	8.111675166264523e-06
['MYC', 'MYCN']	0.0006442359856079737
['PPP6C', 'KRAS']	0.0006763215376330569
['FOXA2', 'GATA3', 'RPL22']	1.5871859387448233e-07
['FOXA2', 'SCAF4', 'FBXW7', 'CTNNB1', 'RPL22']	0.006016667580137057
['FOXA2', 'KRAS', 'CTNNB1', 'CASP8', 'CCND1']	0.0006384496815511261
['FOXA2', 'KRAS', 'CTNNB1', 'CASP8', 'RPL22']	0.1499745295171535
['FOXA2', 'KRAS', 'CTNNB1', 'ZC3H12A']	4.691553448426664e-11
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'EEF2']	0.6655484006051617
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'MTOR', 'RPL22']	0.9999886751071944
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'MTOR', 'RNF43']	0.9999981946587958
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'MTOR', 'ACVR2A']	0.999867579914037
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'MACF1']	0.9893571831580559
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'FBXW7', 'CTCF', 'FAT1']	0.9999999999999858
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'FBXW7', 'CTCF', 'RPL22', 'ZMYM2']	1.0
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'FBXW7', 'CTCF', 'ACVR2A']	1.0
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'FBXW7', 'CTCF', 'BCOR']	0.9999999999999983
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'FBXW7', 'KMT2B']	0.9999993119294778
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'FBXW7', 'FGFR2', 'ARID5B', 'RPL22']	1.0
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'FBXW7', 'FGFR2', 'ARID5B', 'RNF43']	1.0
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'FBXW7', 'FGFR2', 'ARID5B', 'ACVR2A']	0.9999999999999998
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'SPOP', 'FBXW7', 'FGFR2', 'BCOR']	0.999999999997347
