gene1	gene2	pvalue	qvalue
ASXL2	TP53	1.0155639859598686e-05	0.000279658044518389
ASXL2	RPL22	4.538501543877641e-05	0.0010148768716150929
ASXL2	SOX17	0.0007575056495626834	0.010962675101531451
ASXL2	RNF43	0.000761387050855089	0.010997607469015354
ASXL2	KRAS	1.0379182260552022e-05	0.0002817280188523793
PIK3CA	TP53	5.42635089313055e-18	4.3868819880117677e-16
PIK3CA	CTNNB1	5.1347289971483844e-05	0.0011235639309681107
PIK3CA	PIK3R1	3.3737606061793516e-34	1.8590068262954385e-32
PIK3CA	BCOR	1.2641205812423714e-05	0.00033765896003511164
PIK3CA	RPL22	2.9162736434425914e-06	9.509403538854447e-05
PIK3CA	MACF1	0.00035482371915607143	0.005746450501069876
PIK3CA	JAK1	4.995518576529945e-05	0.0010879398824639142
PIK3CA	APOB	0.00032479282914719515	0.005401392981097802
PIK3CA	ACVR2A	0.00047659612513419167	0.007458728358426335
PIK3CA	KMT2D	2.1020112899217968e-05	0.0005251883836148511
PIK3CA	ZMYM2	4.1542207370018336e-05	0.0009371871352626669
PIK3CA	MED12	5.455071405503458e-05	0.0011860738649712794
PIK3CA	CHD4	1.1928600316308087e-06	4.336870586504533e-05
PIK3CA	SPOP	2.7015064322409423e-05	0.0006381879303770787
PIK3CA	PPP2R1A	3.1699286653574947e-08	1.4999269595828439e-06
PIK3CA	EP300	0.0003843590076717279	0.006194230202535368
PIK3CA	FBXW7	5.421373742185855e-08	2.418972875996672e-06
PIK3CA	FAT1	7.70656372323807e-05	0.0015937039097262582
PIK3CA	FGFR2	8.72852352863676e-06	0.0002503159975884818
PIK3CA	INPPL1	4.673498521952612e-05	0.00103653809592962
PIK3CA	BRCA2	0.0008849023446811119	0.012519026506675053
PIK3CA	CHD8	0.0006273123761486017	0.009353911776993348
PIK3CA	MGA	0.0006601486609723371	0.009761483303275444
PIK3CA	CTCF	2.2705211171554808e-05	0.0005604046983306496
PIK3CA	RNF43	2.4436178385132208e-05	0.0005937214189062078
PIK3CA	SCAF4	2.1812654169053756e-05	0.0005438701564852489
PIK3CA	DMD	0.0007772316764130058	0.011116223961153554
PIK3CA	KRAS	4.870834321041e-06	0.00014783077636874203
TP53	ARID1A	3.162722279978775e-53	1.2425713245473246e-51
TP53	CTNNB1	2.0398310646763422e-44	5.980271720367834e-43
TP53	SETD2	5.966412747031788e-12	3.8623853856538206e-10
TP53	PIK3R1	1.6604922748329222e-29	1.1606755428119956e-27
TP53	PTEN	5.3024778372025e-48	2.075839148467648e-46
TP53	BCOR	1.7803106526037218e-19	1.4597622045177865e-17
TP53	TAF1	1.742137561351239e-14	1.1908045433432884e-12
TP53	NFE2L2	1.95102702333032e-09	1.0679656880790988e-07
TP53	ATF7IP	2.9533251496416156e-10	1.877393743983034e-08
TP53	KIF1A	1.010906907985973e-11	6.144431526750964e-10
TP53	ABL1	6.696011357620653e-07	2.540845728613899e-05
TP53	RPL22	3.776935205278071e-31	2.608510506024542e-29
TP53	MACF1	1.6775811060570895e-19	1.4401523596575272e-17
TP53	JAK1	9.838270257008073e-20	8.830725367690526e-18
TP53	APOB	4.031557040766269e-16	3.0886130371015026e-14
TP53	ACVR2A	4.962837315110068e-18	4.214096474060136e-16
TP53	ZBTB20	5.744938174799311e-10	3.559322663001052e-08
TP53	ATR	6.839923127824746e-14	4.27329365990501e-12
TP53	NIPBL	2.8822364744372373e-18	2.511387932640063e-16
TP53	MAP3K1	1.2370601999516136e-14	8.852993827102108e-13
TP53	RASA1	1.7854011093185156e-12	1.1581985653520998e-10
TP53	NSD1	1.3127725021638327e-21	1.1534374120840083e-19
TP53	TNFAIP3	0.00023630083457770563	0.004162210809854707
TP53	BRAF	1.355590897634104e-07	5.724518451268685e-06
TP53	EGR3	2.7607407935791704e-06	9.173159128280185e-05
TP53	PTPRD	5.907647457407484e-10	3.570204389849154e-08
TP53	SPTAN1	4.940559617470415e-09	2.580572814176905e-07
TP53	COL5A1	2.691926860260049e-16	2.2939480812308063e-14
TP53	SMC3	4.365499632880415e-09	2.3335321281528794e-07
TP53	MUC6	6.677246861598271e-12	4.309705718548046e-10
TP53	CTNND1	4.488463786678896e-10	2.8163122123940483e-08
TP53	SF1	0.0003426760729132441	0.00562860545665081
TP53	CCND1	5.2896074080937477e-14	3.556963436255187e-12
TP53	ARID2	6.753106305449268e-10	4.0190515560690223e-08
TP53	KMT2D	2.659658069819215e-29	1.715604960940653e-27
TP53	ACVR1B	3.381126114687708e-05	0.000777928415559177
TP53	ZMYM2	3.481747023871454e-14	2.3319641151400807e-12
