abbreviation	id	name
SARC	30	Sarcoma
BLCA	28	Bladder Urothelial Carcinoma
GBM	1	Glioblastoma multiforme
LUSC	3	Lung squamous cell carcinoma
OV	2	Ovarian serous cystadenocarcinoma
LUAD	4	Lung adenocarcinoma
BRCA	5	Breast invasive carcinoma
COAD	6	Colon adenocarcinoma
KIRC	7	Kidney renal clear cell carcinoma
KIRP	8	Kidney renal papillary cell carcinoma
STAD	9	Stomach adenocarcinoma
HNSC	10	Head and Neck squamous cell carcinoma
LIHC	11	Liver hepatocellular carcinoma
CESC	12	Cervical squamous cell carcinoma and endocervical adenocarcinoma
LAML	13	Acute Myeloid Leukemia
SKCM	15	Skin Cutaneous Melanoma
THCA	20	Thyroid carcinoma
LGG	21	Brain Lower Grade Glioma
PRAD	22	Prostate adenocarcinoma
UCEC	23	Uterine Corpus Endometrial Carcinoma
READ	24	Rectum adenocarcinoma
DLBC	26	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
PAAD	27	Pancreatic adenocarcinoma
ESCA	29	Esophageal carcinoma
CNTL	31	Controls
KICH	32	Kidney Chromophobe
UVM	39	Uveal Melanoma
MESO	33	Mesothelioma
UCS	34	Uterine Carcinosarcoma
TGCT	40	Testicular Germ Cell Tumors
ACC	35	Adrenocortical carcinoma
LCML	36	Chronic Myelogenous Leukemia
PCPG	37	Pheochromocytoma and Paraganglioma
MISC	38	Miscellaneous
CHOL	41	Cholangiocarcinoma
THYM	42	Thymoma
FPPP	43	FFPE Pilot Phase II
